,id,SKU,brand_name,name,rating_average,price
154,106185389,9559033067230,,Tổng ôn ngữ pháp Tiếng Anh cô Trang Anh- Sách luyện thi THPT Quốc gia môn tiếng anh ,4.8,184000
155,95289208,1464786139511,,Người Bà Tài Giỏi Vùng Saga,5.0,93000
156,19662184,1430481594771,,Một Lít Nước Mắt (Tái Bản 2019),4.8,59100
157,249160355,5841986658584,,Dưới Cánh Cửa Thầm Thì,5.0,150000
158,208289515,4724191436367,,Một cuốn sách trầm cảm,4.8,78100
159,90622579,8675814753928,,Tâm Lý Học - Nghệ Thuật Giải Mã Hành Vi,4.8,116000
160,214186189,4163205733004,,Tư Duy Nhanh Và Chậm (Tái Bản),4.8,186000
161,170463582,5109113574987,,Siêu Nhí Biết Tuốt - 101 Bí Ẩn Kích Thích Tò Mò Của Các Bạn Nhỏ,5.0,98889
162,145288026,9932653478147,,Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,4.8,149000
163,206479088,4130396405529,,Sách Dám Nghĩ Lại - First News,5.0,126000
164,11368965,1537261590166,,Combo Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm 1 MP3) và Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm 1 MP3) ( Tặng Kèm Viết ),5.0,302600
165,174377494,7839215446589,,Combo 10 cuốn Ehon Ươm mầm Tính cách,4.8,132000
166,127844385,4778983208702,,Kiêu Hãnh Và Định Kiến (Tái Bản),4.8,91100
167,8965213,2567808619028,,The Magic - Phép màu,4.8,156000
168,173093879,6324102988475,,"Liễu Phàm Tứ Huấn - Tích Tập Phúc Đức, Cải Tạo Vận Mênh (Tái Bản 2022)",5.0,44250
169,143186001,9605309945791,,Chiến Thắng Con Quỷ Trong Bạn - Bí Quyết Tự Do Và Thành Công (Tái Bản),4.8,82000
170,253213647,3301899555005,,Triêu Du (tập 2),5.0,149000
171,641906,2510730215059,,Bí Mật Của Naoko,4.7,84000
172,138107485,5799209507223,,Mặt Dày Tâm Đen (Tái Bản),5.0,126000
173,76776245,4417746830981,,Nghệ Thuật Tư Duy Phản Biện,4.8,91100
174,55319105,5969947003350,,Những Quy Luật Của Bản Chất Con Người,4.8,235000
175,72308265,9349072785301,,Hoa Vẫn Nở Mỗi Ngày,4.8,183000
176,47342678,4630413736195,,Không Giới Hạn - Khám Phá HO'OPONOPONO,5.0,115000
177,124767704,3819100744435,,Bạn Đắt Giá Bao Nhiêu? (Tái Bản),5.0,84000
178,190238356,2389028150709,,Kỷ Luật Bản Thân,4.7,134000
179,155550591,8331625598273,,Dinh Dưỡng Học Bị Thất Truyền - Dinh Dưỡng Đẩy Lùi Bệnh Tật,5.0,130000
180,85763211,1667972248790,,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),5.0,71100
181,11371249,4840421383186,,Chuyện Con Mèo Và Con Chuột Bạn Thân Của Nó - Tái Bản,5.0,29000
182,7827502,6956612875489,,Chiến Tranh Không Có Một Khuôn Mặt Phụ Nữ (Tái bản),4.8,102000
183,54422942,2444863575127,,Tôi Quyết Định Sống Cho Chính Tôi (Tái Bản 2020),5.0,59100
184,2455543,5305086831813,,Không Diệt Không Sinh Đừng Sợ Hãi,5.0,88000
185,21367457,7303752853270,,Tôn Tử Binh Pháp ( Tái Bản ),4.8,59000
186,212992673,1249118452904,,Bức Họa Múa Rối Xương (Combo tập 3 + 4),4.8,209000
187,72459686,8020227397709,,How Psychology Works - Hiểu Hết Về Tâm Lý Học,4.8,228000
188,74341297,1638357424539,,Không Sợ Chậm Chỉ Sợ Dừng,5.0,95000
189,219148748,2274387064455,,Chú bé mang Pyjama sọc,5.0,59000
190,158019962,7155551663521,,Combo 3 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến 2 (Tái Bản),5.0,245050
191,10920495,3194948182656,,Dế Mèn Phiêu Lưu Ký,5.0,119000
192,100947274,9056182518807,,Tìm Bình Yên Trong Gia Đình (Tái Bản),5.0,68310
193,157240665,6952703411267,,"Ra Bờ Suối Ngắm Hoa Kèn Hồng (Truyện Dài-Nguyễn Nhật Ánh) - Bìa Mềm (Màu Hồng) (Tặng Kèm Bookmark Bồi Hai Mặt, Thiệp Trái Tim In Bài Thơ Của Tác Giả)",5.0,112000
194,206676975,2939898937004,,1000 Phát Minh Và Khám Phá Vĩ Đại,5.0,348000
195,253194702,8529516951682,,Vẻ Đẹp Của Sự Cô Đơn - Tặng Kèm Bookmark,0.0,108000
196,95218451,1227243257828,,Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở (Tái Bản),5.0,174200
197,261038020,2880140662152,,Cây Nấm Nhỏ (tập 1),4.6,136000
198,90056907,8035469938067,,Khởi Nghiệp Tinh Gọn (The Lean Startup) (Tái Bản),5.0,108000
199,32490132,5574151134181,,Một Đời Như Kẻ Tìm Đường,4.8,143000
